,date,retweet,text,,
86,Sep 28,False,"With a mother in the Oval Office, we may finally catch up to the rest of the world on paid leave.http://hrc.io/2dAQKyQ ",,
87,Sep 28,False,"""If a candidate regularly and flippantly makes cruel and insulting comments about women...that's who that candidate really is."" —@FLOTUS pic.twitter.com",,
88,Sep 28,False,"""The president commands our nuclear arsenal. Trump can’t command his own rhetoric."" —@azcentralhttp://hrc.io/2d95w1u ",,
89,Sep 28,False,We should make public colleges tuition-free for working families and debt-free for everyone.,,
90,Sep 28,False,"""Thank you, @BernieSanders. Thank you for your leadership and your support in this campaign.” —Hillary",,
91,Sep 28,False,"""Whew, OK!”http://hrc.io/2dkCPiJ ",,
92,Sep 28,False,A man who bullies and shames a woman for her weight should never become president. pic.twitter.com,,
93,Sep 28,False,"For forty years, every presidential candidate has released their tax returns—except for Trump. What's he hiding?http://www.snappytv.com/tc/2891457 ",,
94,Sep 28,False,"In its 120-year history, @azcentral has never endorsed a Democrat.

Here's why the paper just endorsed Hillary: http://hrc.io/2d95w1u ",,
95,Sep 28,False,"""Hillary and I have lost a true and treasured friend."" —@BillClinton and Hillary on the passing of Shimon Peres pic.twitter.com",,
96,Sep 28,False,This election is a choice between an economy that benefits everyone or an economy that benefits...Donald Trump. pic.twitter.com,,
97,Sep 27,False,"Thank you, @_VicenteFdez. You're right—""su voz es su voto."" So grateful to have your support. #JuntosSePuedehttps://twitter.com/_vicentefdez/status/778672681096912896 …",,
98,Sep 27,False,"20 years after Donald bullied a beauty pageant winner for her weight, the real ""problem"" is...still Donald. pic.twitter.com",,
99,Sep 27,False,Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.)http://hrc.io/2dhVg7q ,,
100,Sep 27,False,One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to be president. pic.twitter.com,,
101,Sep 27,False,"“Donald just criticized me for preparing for this debate. And you know what else I prepared for?

I prepared to be president."" —Hillary pic.twitter.com",,
102,Sep 27,False,"When you have a really, really good night. #SheWon pic.twitter.com",,
103,Sep 27,False,"""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —@JoeBiden",,
104,Sep 27,False,"""Anyone who complains about microphone problems is not having a good night."" —Hillary #SheWon",,
105,Sep 27,False,"Trump on Alicia, 1996: ""Miss Piggy.""

This morning: ""She gained a massive amount of weight...it was a real problem."" pic.twitter.com",,
106,Sep 27,False,Only one person on last night's stage is prepared to be Commander-in-Chief. Make sure she gets the chance:  http://IWillVote.com  #SheWon pic.twitter.com,,
107,Sep 26,False,43 days left. Let’s go win this thing:  http://hrc.io/2cRpjzJ  #DebateNight pic.twitter.com,,
108,Sep 26,False,"Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""

Her name is Alicia Machado. #DebateNight pic.twitter.com",,
109,Sep 26,False,The presidency isn't a reality show—it's as real as it gets. Make sure you're registered to vote:  http://IWillVote.com  #DebateNight pic.twitter.com,,
110,Sep 26,False,RT this if you're proud to be standing with Hillary tonight. #debatenight pic.twitter.com,,
111,Sep 26,False,Hillary just proved she's the only candidate who's ready to be president. Chip in now and let's go win this thing:http://hrc.io/2cRhEBi ,,
112,Sep 26,False,"When Donald Trump says he has a ""winning temperament."" #debatenight pic.twitter.com",,
113,Sep 26,False,The woman Trump called “Miss Piggy” has a name: Alicia. #debatenight pic.twitter.com,,
114,Sep 26,False,"""When Donald Trump spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina."" —Hillary #debatenight",,
115,Sep 26,False,"Donald Trump's ""cavalier attitude about nuclear weapons is so deeply troubling.” #DebateNighthttp://www.snappytv.com/tc/2887608 ",,
116,Sep 26,False,.@realDonaldTrump: Barack Obama is your president too. #debatenight,,
117,Sep 26,False,A man who can be provoked by a tweet should not have his hands anywhere near the nuclear codes. #DebateNight,,
118,Sep 26,False,This should go without saying: Taking nuclear war lightly is disqualifying for anyone seeking to be President of the United States. pic.twitter.com,,
119,Sep 26,False,"""I hope the fact-checkers are turning up the volume. Donald Trump supported the invasion of Iraq.”https://twitter.com/PolitiFact/status/775412456839446528 …",,
120,Sep 26,False,"When Donald Trump goes low, we go high. #DebateNighthttp://www.snappytv.com/tc/2887363 ",,
121,Sep 26,False,"When a man is sued for discriminating against black tenants & pushes birtherism, he's giving you an idea of what kind of president he'd be.",,
122,Sep 26,False,"Donald Trump's answer for his five years of pushing the racist birther conspiracy theory?

""I say nothing."" #debatenight",,
123,Sep 26,False,"""Trump just criticized me for preparing for this debate. You know what else I prepared for? Being president."" #DebateNight",,
124,Sep 26,False,President Obama was born in the United States. He’s American. Trump only has one reason for refusing to admit it. #debatenight,,
125,Sep 26,False,Donald Trump is more concerned with pandering to the gun lobby than keeping families safe. #DebateNight pic.twitter.com,,
126,Sep 26,False,"The fact that Trump's answer to a question about racial injustice is just ""we need law and order"" pretty much says it all. #debatenight",,
127,Sep 26,False,We are not going to bring New York’s unconstitutional stop-and-frisk program nationwide. #debatenight,,
128,Sep 26,False,"Paying zero in taxes doesn’t make you ""smart.""

It makes you a tax evader.http://www.snappytv.com/tc/2887031 ",,
129,Sep 26,False,No wonder Donald Trump is hiding his tax returns. #debatenight pic.twitter.com,,
130,Sep 26,False,"""I never said that."" —Donald Trump, who said that. #debatenighthttps://twitter.com/realDonaldTrump/status/265895292191248385 …",,
131,Sep 26,False,"""That's called business."" —Donald Trump on the housing crash.

For millions of Americans it was called ""losing their home."" #DebateNight",,
132,Sep 26,False,Let's do this. #DebateNight pic.twitter.com,,
133,Sep 26,False,"No matter what Donald says at tonight's debate, we already know the real Trump.

Follow @TheBriefing2016 for the facts. #DebateNight pic.twitter.com",,
134,Sep 26,False,"“You didn’t blame Little John or Meat Loaf. You fired Gary Busey.

These are the kinds of decisions that would keep me up at night."" pic.twitter.com",,
135,Sep 26,False,Watch this before you watch tonight's debate. #DebateNight pic.twitter.com,,
136,Sep 26,False,"Trump told 31 outright lies just last week.

Keep him honest at tonight's debate: Follow @TheBriefing2016 to get the facts. #DebateNight pic.twitter.com",,
137,Sep 26,False,"These headlines on Trump's lies are from just one week of his campaign.

Imagine four years of his presidency. pic.twitter.com",,
138,Sep 26,False,A reminder heading into tonight's debate. #DebateNight pic.twitter.com,,
139,Sep 26,False,Our daughters deserve better. pic.twitter.com,,
140,Sep 26,False,Not a single living president has endorsed Donald Trump.http://hrc.io/2dtsbE1 ,,
141,Sep 26,False,Trump can't win tonight's debate by lying to the American people. pic.twitter.com,,
142,Sep 26,False,RT this if you've got Hillary's back tonight. #Debates2016 pic.twitter.com,,
143,Sep 25,False,"Today, the sacrifices of Gold Star families weigh heavier on my mind. Thank you. I will fight to get you the care & benefits you deserve. -H",,
144,Sep 25,False,"59 years ago, 9 brave students integrated Central High School, changing the course of history. Let's recommit to finishing their work. -H pic.twitter.com",,
145,Sep 25,False,Imagine Donald Trump sitting in the Situation Room making life or death decisions on behalf of the United States. pic.twitter.com,,
146,Sep 25,False,Our veterans and their families deserve a president who doesn't disrespect and disparage their sacrifices. pic.twitter.com,,
147,Sep 25,False,Gold Star families have made sacrifices most of us can't even fathom. They deserve our respect and our thanks. pic.twitter.com,,
148,Sep 25,False,Not one living president has said they believe Donald Trump has what it takes to be Commander-in-Chief. http://hrc.io/2d1agpY ,,
149,Sep 25,False,"""Our endorsement is rooted in respect for her intellect, experience, toughness and courage."" —@NYTimes on Hillary  http://nyti.ms/2cVyJ2o  pic.twitter.com",,
150,Sep 24,False,"The new @NMAAHC is an overdue tribute to African American history. Let's build a more open, inclusive future by reflecting on our past. -H",,
151,Sep 24,False,"""I thought, this woman—I want to ride with her."" —Roxie, a Republican and small business owner, on meeting Hillary pic.twitter.com",,
152,Sep 24,False,"RT if you believe that #LoveTrumpsHate

Then make sure you're registered to vote:  http://IWillVote.com  pic.twitter.com",,
153,Sep 23,False,"If the young women of this country have Donald Trump as their president, what will they think of themselves? pic.twitter.com",,
154,Sep 23,False,"Republicans are once again turning their backs on the people of Flint who have waited far too long for help. It's wrong, unfair, and unjust.https://twitter.com/RepDanKildee/status/779293316139651072 …",,
155,Sep 23,False,Charlotte should release police video of the Keith Lamont Scott shooting without delay. We must ensure justice & work to bridge divides. -H,,
156,Sep 23,False,"When Donald Trump speaks about women, our daughters can hear him. pic.twitter.com",,
157,Sep 23,False,Is this the president we want for our daughters? pic.twitter.com,,
158,Sep 22,False,"""He's 70 years old, and he's still a bully."" —Karen on @realDonaldTrump pic.twitter.com",,
159,Sep 22,False,Our favorite moments from Hillary's appearance on Between Two Ferns →  http://hrc.io/2cVhDPP  pic.twitter.com,,
160,Sep 22,False,"""I really regret doing this."" —Hillary on Between Two Ferns pic.twitter.com",,
161,Sep 22,False,Very concerned about the outage in Puerto Rico and the millions of families who don't have power. Hoping it's restored quickly. -Hhttps://twitter.com/AP/status/778898162371137536 …,,
162,Sep 22,False,The man who could be your next president may be deeply indebted to another country. Do you trust him to run ours? pic.twitter.com,,
163,Sep 22,False,"Most people who are bullies grow out of it. 

Donald Trump hasn't. pic.twitter.com",,
164,Sep 22,False,"""Donald Trump doesn't see people like me, he only sees disability. I honestly feel bad for someone with so much hate in his heart."" pic.twitter.com",,
165,Sep 22,False,"Donald Trump is really good at spending other people's money—on:

Legal settlements.
Payoffs.
Portraits of himself. pic.twitter.com",,
166,Sep 21,False,Trump should have to answer exactly why he refuses to believe that @POTUS is American.https://twitter.com/thehill/status/778756954613088257 …,,
167,Sep 21,False,"""You would think there is almost, like, something wrong."" —Donald Trump on Mitt Romney failing to release his tax returns, 2012 pic.twitter.com",,
168,Sep 21,False,We need a president who sees the best in all of us. pic.twitter.com,,
169,Sep 21,False,Every student should be able to graduate from college without taking on any debt.  http://hrc.io/2cDiWjm  pic.twitter.com,,
170,Sep 21,False,Keith Lamont Scott. Terence Crutcher. Too many others. This has got to end. -H,,
171,Sep 20,False,FACT: Donald Trump used his charitable foundation to purchase *multiple* six-foot-tall paintings of himself.http://hrc.io/2dfrxtt ,,
172,Sep 20,False,"A real headline about the Republican nominee: ""Trump used $258,000 from his charity to settle legal problems.""http://wapo.st/2cNm2nJ ",,
173,Sep 20,False,"Four months from today, our next president will walk into the Oval Office.

Help make sure it's not Donald Trump: http://hrc.io/2dfejgv ",,
174,Sep 20,False,"On this day in 1973, tennis champion Billie Jean King defeated Bobby Riggs in the “Battle of the Sexes.” pic.twitter.com",,
175,Sep 20,False,"""You can leave this ad muted—there's nothing to hear."" —@NyleDiMarco

 http://IWillVote.com  pic.twitter.com",,
176,Sep 20,False,Trump’s calls to torture and mistreat prisoners go against the very values we are fighting to defend. We’re better than this.,,
177,Sep 20,False,Donald hasn't given his own money to the Trump Foundation since 2008—but it's still paying his bills.http://wapo.st/2cNm2nJ ,,
178,Sep 20,False,Another unarmed Black man was shot in a police incident. This should be intolerable. We have so much work to do. #TerenceCrutcher -H,,
179,Sep 20,False,Donald Trump is using his foundation—funded by other people's money—to settle lawsuits. http://wapo.st/2cNm2nJ ,,
180,Sep 20,False,"""The voice of your vote is the greatest voice we have."" —@NyleDiMarco

 http://IWillVote.com  pic.twitter.com",,
181,Sep 19,False,Catch @FallonTonight at 11:35pm ET to see letters from some of Hillary's biggest fans. pic.twitter.com,,
182,Sep 19,False,"""You want to give me a good send-off? Go vote.” —Barack Obama:  http://IWillVote.com  pic.twitter.com",,
183,Sep 19,False,Nobody in America should have to forgo a higher education because they can't afford it. pic.twitter.com,,
184,Sep 19,False,America has never made progress by thinking one person alone can fix our problems. pic.twitter.com,,
185,Sep 19,False,Be a voter. Check your registration and help your friends do the same →  http://IWillVote.com  pic.twitter.com,,
186,Sep 19,False,"We have to stand up to this hate.

We have to send a clear message: 
America is better than this.
America is better than Donald Trump.",,
187,Sep 19,False,“I’m Hillary Clinton and I’ve always approved this message.” pic.twitter.com,,
188,Sep 19,False,Our next president needs to have the right temperament to meet the challenges we face. pic.twitter.com,,
189,Sep 19,False,"""Like all Americans, my thoughts are with those who were wounded, their families, & our first responders” —Hillary on this weekend’s attacks",,
190,Sep 18,False,"""We have got to do everything we can to make sure that Hillary Clinton is elected president."" —@BernieSanders pic.twitter.com",,
191,Sep 18,False,"Grateful for our brave men and women serving in the @USAirForce and their families. Happy birthday, USAF!https://twitter.com/usairforce/status/777462232623960064 …",,
192,Sep 18,False,"Congratulations on your Emmy, Kate! Big fan of yours, too. pic.twitter.com",,
193,Sep 18,False,"""Progress is on the ballot.
Tolerance is on the ballot.
Democracy is on the ballot.
Justice is on the ballot."" pic.twitter.com",,
194,Sep 18,False,It wasn't so long ago that women faced and took down barriers that can seem ridiculous now.  http://hrc.io/2cRbk01  pic.twitter.com,,
195,Sep 18,False,"""I strongly condemn the apparent terrorist attacks in Minnesota, New Jersey, and New York."" pic.twitter.com",,
196,Sep 18,False,"Joel Sollender, WWII veteran and POW, on what it means when he hears Trump insult our vets. pic.twitter.com",,
197,Sep 18,False,"""Read up on your history. It matters. We've got to get people to vote."" —@POTUS:  http://IWillVote.com  pic.twitter.com",,
198,Sep 18,False,So what exactly is Donald Trump hiding from voters? Pretty much everything. pic.twitter.com,,
199,Sep 18,False,"In a normal election, these 126 things would disqualify Trump from becoming president:http://hrc.io/2d8fuhx ",,
200,Sep 17,False,Presidential.https://twitter.com/realDonaldTrump/status/777284744253812740 …,,
201,Sep 17,False,Let's be clear: Nothing—including an audit—is preventing Trump from releasing his tax returns.http://wapo.st/2cqx934 ,,
202,Sep 17,False,"Hillary's been her childhood pen pal, her graduation cheering section, and her friend. Meet Aleatha: pic.twitter.com",,
203,Sep 17,False,Take it from @FLOTUS: This election is too important to sit out. Register to vote:  http://IWillVote.com  pic.twitter.com,,
204,Sep 17,False,"9 times Donald Trump accused Hillary of doing the terrible things he, himself, actually did:http://hrc.io/2d5X68Y ",,
